Archaic Latin	qbb
Late Classical Latin	lat
Megleno Romanian	ruq
Istro Romanian	ruo
Aromanian	rup
Romanian	ron
Dalmatian	dlm
Friulian	fur
Gardenese Ladin	ll1
Fassano Ladin	ll2
Rumantsch Grischun	ro1
Sursilvan Romansh	ro2
Surmiran Romansh	ro3
Vallader Romansh	ro4
Lanzo Torinese Piemontese	pm1
Barbania Piemontese	pm2
Carmagnola Piemontese	pm3
Turinese Piemontese	pm4
Vercellese Piemontese	pm5
Bergamo Lombard	lm1
Plesio Lombard	lm2
Ravennate Romagnol	eg1
Ferrarese Emiliano	eg2
Carpigiano Emiliano	eg3
Reggiano Emiliano	eg4
Rapallo Ligurian	li1
Genoese Ligurian	li2
Stella Ligurian	li3
Venice Venetian	ve1
Primiero Venetian	ve2
Bellunese Venetian	ve3
Old Italian	ito
Standard Italian	ita
Grosseto Italian	itg
Foligno Italian	itf
Neapolitan	nea
Logudorese	src
Campidanese	sro
Palermitan Sicilian	sc1
Messinese Sicilian	sc2
Catanian Sicilian	sc3
South-Eastern Sicilian	sc4
Central Catalan	ca1
North-Western Catalan	ca2
Minorcan Catalan	ca3
Castello de la Plana Catalan	ca4
Valencia Catalan	ca5
Manises Catalan	ca6
Castilian Spanish	spa
Asturian	ast
Standard Portuguese	por
Galician	glg
Provencal Occitan	pr1
Savoyard Franco-Provencal	pr2
Old French	fro
Standard French	fra
Picard	pcd
Walloon	win
